symbol: HUHTAMAKI  - (Normal), sl: 392.5   , volume: 551,  percentage_change: 0.64, bid: [{'price': 391.15, 'quantity': 18, 'orders': 1}, {'price': 391.1, 'quantity': 210, 'orders': 1}, {'price': 391, 'quantity': 1177, 'orders': 2}, {'price': 390.95, 'quantity': 32, 'orders': 2}, {'price': 390.8, 'quantity': 1, 'orders': 1}] , sell : [{'price': 391.8, 'quantity': 45, 'orders': 3}, {'price': 391.85, 'quantity': 9, 'orders': 1}, {'price': 391.95, 'quantity': 35, 'orders': 4}, {'price': 392, 'quantity': 56, 'orders': 2}, {'price': 392.15, 'quantity': 10, 'orders': 1}] , time: 2024-10-16 12:39:09.685607
symbol: INDOSTAR  - (Normal), sl: 276.85   , volume: 0,  percentage_change: 0.0, bid: [{'price': 273.5, 'quantity': 3, 'orders': 1}, {'price': 273.35, 'quantity': 22, 'orders': 1}, {'price': 273.3, 'quantity': 24, 'orders': 2}, {'price': 273.25, 'quantity': 8, 'orders': 2}, {'price': 273.2, 'quantity': 45, 'orders': 2}] , sell : [{'price': 274, 'quantity': 13, 'orders': 1}, {'price': 274.1, 'quantity': 17, 'orders': 1}, {'price': 274.15, 'quantity': 1, 'orders': 1}, {'price': 274.2, 'quantity': 60, 'orders': 1}, {'price': 274.25, 'quantity': 3, 'orders': 1}] , time: 2024-10-16 12:39:19.553852
symbol: JINDRILL  - (Normal), sl: 603.3   , volume: 0,  percentage_change: 0.0, bid: [{'price': 610.25, 'quantity': 1, 'orders': 1}, {'price': 610.2, 'quantity': 3, 'orders': 2}, {'price': 610.15, 'quantity': 1, 'orders': 1}, {'price': 610.05, 'quantity': 14, 'orders': 1}, {'price': 610, 'quantity': 21, 'orders': 1}] , sell : [{'price': 613.5, 'quantity': 1, 'orders': 1}, {'price': 613.6, 'quantity': 3, 'orders': 1}, {'price': 613.65, 'quantity': 17, 'orders': 2}, {'price': 613.7, 'quantity': 3, 'orders': 1}, {'price': 613.75, 'quantity': 3, 'orders': 1}] , time: 2024-10-16 12:39:36.335873
symbol: LICMFGOLD  - (Normal), sl: 6910.95   , volume: 0,  percentage_change: 0.0, bid: [{'price': 6956, 'quantity': 3, 'orders': 1}, {'price': 6951, 'quantity': 1, 'orders': 1}, {'price': 6950, 'quantity': 10, 'orders': 1}, {'price': 6948, 'quantity': 10, 'orders': 1}, {'price': 6945, 'quantity': 10, 'orders': 1}] , sell : [{'price': 6965, 'quantity': 1, 'orders': 1}, {'price': 6969, 'quantity': 2, 'orders': 1}, {'price': 6970, 'quantity': 7, 'orders': 3}, {'price': 6989.9, 'quantity': 2, 'orders': 1}, {'price': 6989.95, 'quantity': 4, 'orders': 1}] , time: 2024-10-16 12:40:01.979521
symbol: MAKEINDIA  - (Normal), sl: 154.65   , volume: 0,  percentage_change: 0.0, bid: [{'price': 153.66, 'quantity': 35, 'orders': 1}, {'price': 153.65, 'quantity': 7, 'orders': 1}, {'price': 153.59, 'quantity': 10, 'orders': 1}, {'price': 153.58, 'quantity': 99722, 'orders': 2}, {'price': 153.55, 'quantity': 320, 'orders': 2}] , sell : [{'price': 154.02, 'quantity': 99208, 'orders': 3}, {'price': 154.57, 'quantity': 843, 'orders': 2}, {'price': 155.03, 'quantity': 33, 'orders': 1}, {'price': 155.04, 'quantity': 27, 'orders': 1}, {'price': 155.05, 'quantity': 35, 'orders': 1}] , time: 2024-10-16 12:40:11.091953
symbol: MAZDA  - (Normal), sl: 1301.8   , volume: 0,  percentage_change: 0.0, bid: [{'price': 1286.35, 'quantity': 1, 'orders': 1}, {'price': 1286, 'quantity': 2, 'orders': 1}, {'price': 1285, 'quantity': 14, 'orders': 1}, {'price': 1284.55, 'quantity': 1, 'orders': 1}, {'price': 1283.8, 'quantity': 3, 'orders': 1}] , sell : [{'price': 1288.55, 'quantity': 1, 'orders': 1}, {'price': 1289.35, 'quantity': 1, 'orders': 1}, {'price': 1289.4, 'quantity': 3, 'orders': 1}, {'price': 1289.95, 'quantity': 2, 'orders': 1}, {'price': 1290.3, 'quantity': 3, 'orders': 1}] , time: 2024-10-16 12:40:17.381645
symbol: MMFL  - (Normal), sl: 566.4   , volume: 0,  percentage_change: 0.0, bid: [{'price': 555.5, 'quantity': 1, 'orders': 1}, {'price': 555.45, 'quantity': 50, 'orders': 1}, {'price': 554.75, 'quantity': 1, 'orders': 1}, {'price': 554.7, 'quantity': 4, 'orders': 1}, {'price': 553.75, 'quantity': 1, 'orders': 1}] , sell : [{'price': 556.45, 'quantity': 4, 'orders': 1}, {'price': 556.5, 'quantity': 8, 'orders': 1}, {'price': 556.6, 'quantity': 24, 'orders': 2}, {'price': 556.7, 'quantity': 14, 'orders': 1}, {'price': 556.9, 'quantity': 5, 'orders': 1}] , time: 2024-10-16 12:40:21.783788
symbol: MUTHOOTCAP  - (Normal), sl: 373.5   , volume: 0,  percentage_change: 0.0, bid: [{'price': 367, 'quantity': 6, 'orders': 1}, {'price': 366.8, 'quantity': 7, 'orders': 1}, {'price': 366.75, 'quantity': 8, 'orders': 2}, {'price': 366.7, 'quantity': 39, 'orders': 2}, {'price': 366.65, 'quantity': 10, 'orders': 1}] , sell : [{'price': 367.5, 'quantity': 175, 'orders': 1}, {'price': 367.8, 'quantity': 2, 'orders': 1}, {'price': 367.85, 'quantity': 25, 'orders': 1}, {'price': 367.95, 'quantity': 56, 'orders': 3}, {'price': 368, 'quantity': 21, 'orders': 1}] , time: 2024-10-16 12:40:31.406641
symbol: NDTV  - (Normal), sl: 178.5   , volume: 297,  percentage_change: 0.13, bid: [{'price': 176.6, 'quantity': 80, 'orders': 1}, {'price': 176.5, 'quantity': 165, 'orders': 3}, {'price': 176.4, 'quantity': 44, 'orders': 1}, {'price': 176.31, 'quantity': 4, 'orders': 1}, {'price': 176.3, 'quantity': 1, 'orders': 1}] , sell : [{'price': 176.77, 'quantity': 5, 'orders': 2}, {'price': 176.8, 'quantity': 1, 'orders': 1}, {'price': 176.85, 'quantity': 30, 'orders': 1}, {'price': 176.86, 'quantity': 80, 'orders': 3}, {'price': 176.87, 'quantity': 36, 'orders': 2}] , time: 2024-10-16 12:40:35.494529
symbol: NGIL  - (Normal), sl: 41.68   , volume: 0,  percentage_change: 0.0, bid: [{'price': 41.51, 'quantity': 18, 'orders': 1}, {'price': 41.5, 'quantity': 1216, 'orders': 5}, {'price': 41.42, 'quantity': 1, 'orders': 1}, {'price': 41.41, 'quantity': 3, 'orders': 2}, {'price': 41.4, 'quantity': 725, 'orders': 1}] , sell : [{'price': 41.72, 'quantity': 5, 'orders': 1}, {'price': 41.74, 'quantity': 80, 'orders': 1}, {'price': 41.78, 'quantity': 119, 'orders': 1}, {'price': 41.79, 'quantity': 1, 'orders': 1}, {'price': 41.82, 'quantity': 35, 'orders': 1}] , time: 2024-10-16 12:40:38.681515
