symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
ASTERDM,-3.050000000000068,-0.5895428626655201,514.3,15907,SELL,2025-01-01 09:25:09.626898,SELL,-158,2.15
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
DHANBANK,-1.009999999999998,-3.2371794871794806,30.19,1425,SELL,2025-01-01 09:27:16.996144,STRONG_SELL,,
SIGNPOST,-9.550000000000011,-2.605374437320969,357,919,SELL,2025-01-01 09:28:18.617453,STRONG_SELL,,
INTELLECT,-19.899999999999977,-1.9842456875062298,983,197471,NEUTRAL,2025-01-01 09:27:39.098227,BUY,-295,1.62
OCCLLTD,-2.0200000000000102,-1.8530410054123567,106.99,27123,NEUTRAL,2025-01-01 09:28:00.962326,BUY,-189,2.13
SURYAROSNI,-4.4500000000000455,-1.4791424297822986,296.4,20519,NEUTRAL,2025-01-01 09:28:25.719894,SELL,243,0.24
MONARCH,-5.800000000000011,-1.3039568345323767,439,11635,NEUTRAL,2025-01-01 09:27:54.154946,BUY,-3768,10.01
SHAILY,-15,-1.0380622837370241,1430,84,SELL,2025-01-01 09:28:16.451852,STRONG_SELL,,
ORIENTTECH,-5.099999999999966,-1.022146507666092,493.85,44300,NEUTRAL,2025-01-01 09:28:02.195287,BUY,-112,2.02
ECLERX,-34.75,-0.9694247614796629,3549.85,7056,NEUTRAL,2025-01-01 09:27:19.096222,BUY,22,0.5
SDL26BEES,-1.1299999999999955,-0.8899740096085653,125.84,2,SELL,2025-01-01 09:28:15.437651,STRONG_SELL,-4399,1.83
CLSEL,-3.3999999999999773,-0.7709750566893372,437.6,4554,NEUTRAL,2025-01-01 09:27:13.182841,BUY,464,0.29
SUNFLAG,-1.9499999999999886,-0.7678676904902495,252,3961,NEUTRAL,2025-01-01 09:28:25.073895,SELL,,
WONDERLA,-5.4500000000000455,-0.7449425915801046,726.15,3788,SELL,2025-01-01 09:28:38.603920,STRONG_SELL,-42,3.0
BBTC,-16.199999999999818,-0.733413314620722,2192.65,3747,NEUTRAL,2025-01-01 09:27:07.427683,BUY,12,0.56
IDEAFORGE,-4.0,-0.642570281124498,618.5,9135,SELL,2025-01-01 09:27:36.253860,BUY,23,0.85
REMSONSIND,-0.9200000000000159,-0.6257652020133423,146.1,1250,NEUTRAL,2025-01-01 09:28:09.308069,NEUTRAL,33,0.52
MANAPPURAM,-1.1400000000000148,-0.5995266894557006,189.01,214354,NEUTRAL,2025-01-01 09:27:50.546674,BUY,-717,1.62
SILVERADD,-0.480000000000004,-0.565437625161979,84.41,11241,NEUTRAL,2025-01-01 09:28:19.102365,BUY,16413,0.07
VENUSREM,-1.8000000000000114,-0.5598755832037361,319.7,644,NEUTRAL,2025-01-01 09:28:35.546239,SELL,13,0.71
RUBYMILLS,-1.349999999999966,-0.5134055904164161,261.6,64,NEUTRAL,2025-01-01 09:28:11.295090,BUY,-51,3.32
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
ECLERX,-82.59999999999991,-2.304301735200578,3502,16425,NEUTRAL,2025-01-01 09:29:12.639820,NEUTRAL,-15,1.88
